intValue: 0, depth: 0, token_str: __x, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_calloc, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_OBJECT_IS_NULL, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_TOO_SMALL_SIZE, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_MEMORY_ALLOCATION, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 0, token_str: LXB_STATUS_OK, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_obj_length, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 1, token_str: lexbor_free, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: array, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: list, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_OBJECT_IS_NULL, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 1, token_str: status, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 0, token_str: LXB_STATUS_OK, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: None, depth: 2, token_str: LXB_STATUS_ERROR_MEMORY_ALLOCATION, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 0, token_str: LXB_STATUS_OK, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
